Stamp,Proccessed,Time
1533796698,392,1382.16
1533806900,390,532.65
1533860881,314,426.84
1533880392.7033055,345,126.89
1533882782.6733053,276,813.17
1533895653.1063054,390,4608.09
1534125651.9312186,357,455.56
1534130996.503825,316,1153.45
1534139518.26015,83,585.99
1534145860.7599752,804,3175.17
1534152789.3975062,80,247.35
1534208846.0560043,0,0.0
1534208923.9950047,0,0.0
1534467995.019414,398,450.75
1534729925.7306197,800,1121.46
1535092886.7648234,384,2150.14
