Stamp,UrlProccessed,Time
1534211603.083207,400,1387.74
1534212662.7348075,40,112.15
1534214537.0492086,0,0.0
1534214686.806609,40,127.96
1534216713.240612,40,136.27
1534219410.249915,400,1448.95
1534221102.9069147,400,1173.68
1534223225.3575168,400,1703.92
1534226712.3205256,400,1588.55
1534297183.0536108,396,1522.82
1534299379.6660237,400,1436.42
1534304523.2601485,400,1366.09
1534312622.9198616,400,1397.33
1534319551.5922735,1200,4632.41
