Stamp,Proccessed,Time
1534214537.0522087,0,0.0
1534216713.2976122,40,0.05
1534219410.8809147,399,0.63
1534221103.670915,400,0.76
1534223226.357317,399,0.98
1534226712.7587254,400,0.44
1534297183.4592106,396,0.41
1534299380.0580237,400,0.39
1534304523.7297485,400,0.47
1534312623.3254614,400,0.39
1534319553.2056735,1199,1.61
